iter	Passed	Remaining
400	23363	93164
401	23429	93136
402	23487	93076
403	23548	93029
404	23611	92988
405	23670	92931
406	23727	92871
407	23786	92814
408	23848	92771
409	23917	92755
410	23980	92711
411	24038	92653
412	24097	92596
413	24157	92547
414	24212	92475
415	24272	92421
416	24337	92388
417	24402	92355
418	24458	92287
419	24518	92236
420	24577	92180
421	24637	92126
422	24696	92073
423	24761	92036
424	24818	91974
425	24877	91919
426	24940	91875
427	25001	91829
428	25060	91772
429	25124	91732
430	25181	91670
431	25239	91608
432	25298	91554
433	25363	91517
434	25419	91450
435	25479	91397
436	25537	91337
437	25591	91265
438	25646	91192
439	25705	91137
440	25766	91086
441	25825	91030
442	25888	90990
443	25949	90939
444	26006	90876
445	26063	90812
446	26120	90748
447	26173	90673
448	26236	90628
449	26296	90575
450	26357	90525
451	26431	90523
452	26507	90522
453	26570	90479
454	26627	90415
455	26688	90367
456	26752	90326
457	26817	90289
458	26877	90235
459	26938	90183
460	27003	90149
461	27067	90107
462	27129	90060
463	27196	90030
464	27257	89978
465	27317	89924
466	27376	89868
467	27432	89799
468	27493	89749
469	27552	89692
470	27607	89620
471	27672	89584
472	27733	89532
473	27795	89484
474	27854	89426
475	27910	89359
476	27968	89299
477	28032	89259
478	28087	89187
479	28152	89150
480	28211	89091
481	28272	89041
482	28329	88977
483	28388	88919
484	28445	88855
485	28501	88789
486	28554	88711
487	28616	88663
488	28671	88594
489	28730	88535
490	28788	88477
491	28853	88435
492	28908	88367
493	28961	88291
494	29016	88221
495	29079	88177
496	29136	88111
497	29195	88054
498	29247	87977
499	29304	87912
500	29364	87858
501	29421	87796
502	29482	87743
503	29543	87692
504	29604	87640
505	29661	87578
506	29712	87497
507	29774	87446
508	29830	87381
509	29892	87333
510	29954	87285
511	30020	87247
512	30075	87176
513	30136	87127
514	30191	87058
515	30248	86994
516	30301	86919
517	30354	86845
518	30414	86789
519	30475	86737
520	30537	86688
521	30592	86619
522	30653	86567
523	30706	86493
524	30764	86434
525	30819	86363
526	30878	86307
527	30939	86256
528	31007	86222
529	31067	86168
530	31132	86128
531	31198	86088
532	31256	86027
533	31320	85983
534	31377	85921
535	31443	85882
536	31500	85819
537	31561	85766
538	31620	85708
539	31676	85643
540	31738	85594
541	31795	85531
542	31864	85499
543	31929	85457
544	31989	85403
545	32044	85334
546	32103	85277
547	32155	85201
548	32209	85128
549	32264	85061
550	32319	84992
551	32383	84946
552	32445	84898
553	32500	84828
554	32553	84756
555	32612	84698
556	32665	84626
557	32717	84548
558	32780	84502
559	32836	84437
560	32892	84370
561	32943	84293
562	33001	84234
563	33056	84164
564	33110	84093
565	33164	84025
566	33226	83975
567	33283	83912
568	33335	83837
569	33387	83762
570	33441	83690
571	33498	83627
572	33550	83555
573	33608	83495
574	33657	83413
575	33716	83355
576	33773	83292
577	33833	83238
578	33885	83161
579	33937	83088
580	33990	83015
