iter	RMSE
0	18.50990217
1	18.12418798
2	17.74977098
3	17.38994544
4	17.03849646
5	16.69836174
6	16.37517306
7	16.06666321
8	15.76290565
9	15.47085032
10	15.18993503
11	14.92063004
12	14.66159142
13	14.41112501
14	14.17170059
15	13.94183536
16	13.72165287
17	13.51145741
18	13.30582833
19	13.11184463
20	12.9213627
21	12.74273715
22	12.56929152
23	12.4014933
24	12.24284114
25	12.09101106
26	11.94344692
27	11.80363164
28	11.67106129
29	11.54370656
30	11.42138139
31	11.30312537
32	11.19215224
33	11.08570742
34	10.9824687
35	10.8837559
36	10.79033072
37	10.70124345
38	10.61640219
39	10.53430257
40	10.45586862
41	10.37988723
42	10.30699336
43	10.23867658
44	10.17301422
45	10.11111507
46	10.05293446
47	9.996780226
48	9.943282992
49	9.891314949
50	9.842057633
51	9.795909524
52	9.753094902
53	9.709484906
54	9.669101479
55	9.630266424
56	9.593968609
57	9.559673355
58	9.52570624
59	9.494306741
60	9.465088101
61	9.436334291
62	9.409633671
63	9.383806217
64	9.359206408
65	9.335656976
66	9.314156311
67	9.293321835
68	9.273253452
69	9.254725746
70	9.23670857
71	9.220127765
72	9.203277574
73	9.187339073
74	9.172217467
75	9.157454165
76	9.143123911
77	9.129863474
78	9.117616976
79	9.106506803
80	9.095867794
81	9.08559274
82	9.075546154
83	9.065469744
84	9.056278815
85	9.047580894
86	9.039088642
87	9.031408248
88	9.024225159
89	9.016735414
90	9.00999728
91	9.003851322
92	8.997713033
93	8.991808433
94	8.985880378
95	8.980584017
96	8.975806237
97	8.970725862
98	8.965463706
99	8.961077504
100	8.956601065
101	8.952472986
102	8.948795382
103	8.945230801
104	8.941661232
105	8.938279002
106	8.934951216
107	8.931659379
108	8.928743749
109	8.92615938
110	8.923459104
111	8.921000053
112	8.918256251
113	8.915997598
114	8.913666258
115	8.911504335
116	8.909484442
117	8.907520285
118	8.905523041
119	8.90348216
120	8.901586424
121	8.899815441
122	8.898165384
123	8.896705599
124	8.895155631
125	8.893498951
126	8.892112126
127	8.890620132
128	8.889047897
129	8.887728181
130	8.886609692
131	8.885456626
132	8.884250814
133	8.88311761
134	8.882031465
135	8.881048244
136	8.880164898
137	8.879059613
138	8.878159244
139	8.877319532
140	8.876527944
141	8.875644162
142	8.874876933
143	8.874077654
144	8.873398686
145	8.872683784
146	8.871875518
147	8.871092868
148	8.870457556
149	8.869825536
150	8.86923116
151	8.868607661
152	8.867981332
153	8.867399447
154	8.866888462
155	8.866325527
156	8.865652391
157	8.864968369
158	8.864482359
159	8.863985717
160	8.863536415
161	8.863125703
162	8.862603063
163	8.862193197
164	8.861755307
165	8.8613338
166	8.860937397
167	8.860488065
168	8.860046571
169	8.859613358
170	8.859222025
171	8.858545009
172	8.858131254
173	8.857695819
174	8.857374026
175	8.857066456
176	8.856725404
177	8.856336685
178	8.856043677
179	8.8555977
180	8.855168076
181	8.85489398
182	8.854482316
183	8.854131994
184	8.85387629
185	8.853416429
186	8.853081552
187	8.852757601
188	8.852422017
189	8.852096686
190	8.851828132
191	8.851462671
192	8.851066502
193	8.850785787
194	8.850313884
195	8.849961035
196	8.849751672
197	8.849495692
198	8.849202159
199	8.848924598
200	8.8486011
201	8.848300214
202	8.84795654
203	8.847689553
204	8.847327743
205	8.847049397
206	8.846868053
207	8.846637799
208	8.846369505
209	8.846179993
210	8.845896687
211	8.845600892
212	8.845299433
213	8.845119913
214	8.84485742
215	8.844529847
216	8.844253631
217	8.844011096
218	8.84373295
219	8.843531978
220	8.84329551
221	8.843097744
222	8.842811176
223	8.842517168
224	8.842239671
225	8.841980896
226	8.841676337
227	8.841363823
228	8.841098813
229	8.840827619
230	8.840549916
231	8.840368055
232	8.840211983
233	8.839890974
234	8.839623616
235	8.839387393
236	8.839141079
237	8.838987677
238	8.838801826
239	8.838511113
240	8.838210273
241	8.837990193
242	8.8377753
243	8.837598559
244	8.837343238
245	8.837119429
246	8.83691965
247	8.836675944
248	8.836492827
249	8.836294177
250	8.836110881
251	8.835836268
252	8.835637342
253	8.835408098
254	8.83512656
255	8.834874405
256	8.834652626
257	8.834440194
258	8.834259917
259	8.833875881
260	8.833714672
261	8.833452423
262	8.833202996
263	8.832866534
264	8.832683672
265	8.832518977
266	8.832270477
267	8.832059259
268	8.831880176
269	8.831676504
270	8.831389852
271	8.831184144
272	8.831044506
273	8.830857009
274	8.830639295
275	8.830333889
276	8.830093835
277	8.82995439
278	8.82973129
279	8.829557164
280	8.829417254
281	8.829224765
282	8.829052513
283	8.828912274
284	8.828770263
285	8.828591305
286	8.828443641
287	8.82828497
288	8.828151492
289	8.827931698
290	8.82772758
291	8.827563498
292	8.827399671
293	8.827214948
294	8.827016986
295	8.826832836
296	8.826595379
297	8.826397153
298	8.826225051
299	8.825996303
300	8.825849137
301	8.825698455
302	8.825568411
303	8.825400595
304	8.82523778
305	8.825098953
306	8.824936031
307	8.824764221
308	8.824613122
309	8.824425876
310	8.824233928
311	8.824098443
312	8.823952647
313	8.823761238
314	8.823585505
315	8.823355299
316	8.823219038
317	8.823120172
318	8.822948673
319	8.822765148
320	8.822612833
321	8.82242316
322	8.822232316
323	8.822028238
324	8.82193753
325	8.821726078
326	8.821471016
327	8.821253187
328	8.821074907
329	8.820891168
330	8.820726538
331	8.820591207
332	8.820416623
333	8.820168862
334	8.819989058
335	8.819834891
336	8.819667162
337	8.819491089
338	8.8193523
339	8.81921999
340	8.819030669
341	8.818807361
342	8.818640937
343	8.818515009
344	8.818377561
345	8.818234161
346	8.818073301
347	8.817863008
348	8.817657284
349	8.817475937
350	8.817323058
351	8.81715708
352	8.816894459
353	8.816672472
354	8.816520429
355	8.816348675
356	8.816144574
357	8.815909569
358	8.815742575
359	8.815551238
360	8.815373312
361	8.815146995
362	8.814974107
363	8.814772867
364	8.814629743
365	8.81443741
366	8.814283949
367	8.814149978
368	8.813947365
369	8.813794202
370	8.813628751
371	8.813497111
372	8.813217043
373	8.813039993
374	8.812807776
375	8.81267269
376	8.812517937
377	8.812400307
378	8.812231371
379	8.812095505
380	8.812000959
381	8.811866449
382	8.811713913
383	8.811507249
384	8.811323032
385	8.811116244
386	8.811011456
387	8.810830548
388	8.810641316
389	8.810491228
390	8.810313503
391	8.810136788
392	8.81004494
393	8.809942434
394	8.809801756
395	8.809688618
396	8.809480525
397	8.809327752
398	8.809188418
399	8.808990442
400	8.80881612
401	8.808667889
402	8.808530711
403	8.808388525
404	8.808208633
405	8.808044234
406	8.807899756
407	8.807723204
408	8.807527581
409	8.807376442
410	8.807209594
411	8.807044715
412	8.806888096
413	8.806728116
414	8.806568398
415	8.806453435
416	8.806348141
417	8.806178204
418	8.806032773
419	8.805890306
420	8.805734241
421	8.80561465
422	8.805450608
423	8.805286309
424	8.805151004
425	8.804996029
426	8.804817492
427	8.804598417
428	8.804514832
429	8.80432737
430	8.804201005
431	8.804108373
432	8.803980973
433	8.803838201
434	8.803580569
435	8.803417395
436	8.803222377
437	8.803009811
438	8.802846163
439	8.802667608
440	8.802481759
441	8.802320193
442	8.802186686
443	8.801991376
444	8.801844354
445	8.801595181
446	8.801384046
447	8.80123933
448	8.801076768
449	8.800886818
450	8.800740294
451	8.800595672
452	8.800465427
453	8.800311565
454	8.800169995
455	8.799997556
456	8.799881614
457	8.79967141
458	8.799448264
459	8.799246398
460	8.799129894
461	8.798902767
462	8.798689124
463	8.798538929
464	8.798391349
465	8.798167395
466	8.797979152
467	8.797765082
468	8.797621509
469	8.797376236
470	8.797185825
471	8.797024116
472	8.796773281
473	8.796517787
474	8.796235701
475	8.796007904
476	8.795738761
477	8.795610092
478	8.79548023
479	8.795293255
480	8.795163018
481	8.794981756
482	8.794848528
483	8.794662071
484	8.794504371
485	8.794334913
486	8.794176961
487	8.794018638
488	8.793835139
489	8.793668822
490	8.79344198
491	8.793234296
492	8.793050681
493	8.792882436
494	8.792761784
495	8.792523071
496	8.792331626
497	8.792035179
498	8.791833633
499	8.791660329
500	8.791478983
501	8.791339059
502	8.791193204
503	8.790998924
504	8.790868671
505	8.790577415
506	8.790420566
507	8.790253927
508	8.790086299
509	8.789931743
510	8.789783301
511	8.789496149
512	8.789379785
513	8.789226512
514	8.789094267
515	8.788895456
516	8.788758515
517	8.78852618
518	8.78824513
519	8.788053092
520	8.787846785
521	8.787685124
522	8.787415038
523	8.787143098
524	8.786892615
525	8.786704567
526	8.786454473
527	8.78623125
528	8.786010913
529	8.785895876
530	8.785777654
531	8.78561618
532	8.785403445
533	8.785122379
534	8.784916476
535	8.784766937
536	8.784579059
537	8.784251857
538	8.784128005
539	8.783964038
540	8.783804461
541	8.783587731
542	8.783450094
543	8.783296308
544	8.783095659
545	8.78298408
546	8.782806784
547	8.782652861
548	8.782430852
549	8.782266201
550	8.782062826
551	8.781899027
552	8.781750927
553	8.78159205
554	8.781412533
555	8.781158063
556	8.780948441
557	8.78070047
558	8.780503857
559	8.780311217
560	8.780101457
561	8.779887769
562	8.779746488
563	8.779569713
564	8.779407911
565	8.779222961
566	8.779009885
567	8.778872411
568	8.778623311
569	8.77844765
570	8.778288543
571	8.778079986
572	8.777851971
573	8.777689002
574	8.777467789
575	8.77732033
576	8.777193846
577	8.777013727
578	8.776882692
579	8.776650035
580	8.776467235
581	8.776259118
582	8.776009543
583	8.775888241
584	8.775705332
585	8.775555813
586	8.775335743
587	8.775153494
588	8.774973158
589	8.774823154
590	8.774674023
591	8.774538918
592	8.774363451
593	8.774201374
594	8.774057531
595	8.773940541
596	8.773723064
597	8.773521307
598	8.773370553
599	8.773214183
600	8.773054331
601	8.772897364
602	8.77265404
603	8.772490685
604	8.772327203
605	8.772198142
606	8.77195677
607	8.771758663
608	8.771627126
609	8.771436387
610	8.771230605
611	8.771122533
612	8.770975993
613	8.770834716
614	8.770669495
615	8.770513091
616	8.770355889
617	8.770169588
618	8.769973051
619	8.769838796
620	8.769691517
621	8.769550853
622	8.769280223
623	8.769103024
624	8.768895559
625	8.76873026
626	8.768535045
627	8.768305361
628	8.768162911
629	8.767993628
630	8.767880487
631	8.767730796
632	8.767570557
633	8.767414168
634	8.767247847
635	8.76711289
636	8.766972226
637	8.766833371
638	8.766674087
639	8.766497323
640	8.766355312
641	8.766214858
642	8.76607361
